move_id,version_group_id,language_id,flavor_text
1,3,9,Pounds with fore­ legs or tail.
1,4,9,Pounds with fore­ legs or tail.
1,5,9,Pounds the foe with forelegs or tail.
1,6,9,Pounds the foe with forelegs or tail.
1,7,9,"A physical attack delivered with a long tail or a foreleg, etc."
1,8,9,"The foe is physically pounded with a long tail or a foreleg, etc. "
1,9,9,"The foe is physically pounded with a long tail or a foreleg, etc. "
1,10,9,"The foe is physically pounded with a long tail or a foreleg, etc. "
1,11,9,"The target is physically pounded with a long tail or a foreleg, etc."
1,14,9,"The target is physically pounded with a long tail or a foreleg, etc."
1,15,9,"The target is physically pounded with a long tail, a foreleg, or the like."
1,16,9,"The target is physically pounded with a long tail, a foreleg, or the like."
1,17,9,"The target is physically pounded with a long tail, a foreleg, or the like."
1,18,9,"The target is physically pounded with a long tail, a foreleg, or the like."
2,3,9,Has a high criti­ cal hit ratio.
2,4,9,Has a high criti­ cal hit ratio.
2,5,9,A chopping attack with a high critical-hit ratio.
2,6,9,A chopping attack with a high critical-hit ratio.
2,7,9,The foe is attacked with a sharp chop. It has a high critical-hit ratio.
2,8,9,The foe is attacked with a sharp chop. It has a high critical-hit ratio. 
2,9,9,The foe is attacked with a sharp chop. It has a high critical-hit ratio. 
2,10,9,The foe is attacked with a sharp chop. It has a high critical-hit ratio. 
2,11,9,The target is attacked with a sharp chop. Critical hits land more easily.
2,14,9,The target is attacked with a sharp chop. Critical hits land more easily.
2,15,9,The target is attacked with a sharp chop. Critical hits land more easily.
2,16,9,The target is attacked with a sharp chop. Critical hits land more easily.
2,17,9,The target is attacked with a sharp chop. Critical hits land more easily.
2,18,9,The target is attacked with a sharp chop. Critical hits land more easily.
3,3,9,Repeatedly slaps 2-5 times.
3,4,9,Repeatedly slaps 2-5 times.
3,5,9,Repeatedly slaps the foe 2 to 5 times.
3,6,9,Repeatedly slaps the foe 2 to 5 times.
3,7,9,"The foe is slapped repeatedly, back and forth, two to five times."
3,8,9,"The foe is slapped repeatedly, back and forth, two to five times in a row. "
