pokemon_species_id,local_language_id,name,genus
1,9,Bulbasaur,Seed Pokémon
2,9,Ivysaur,Seed Pokémon
3,9,Venusaur,Seed Pokémon
4,9,Charmander,Lizard Pokémon
5,9,Charmeleon,Flame Pokémon
6,9,Charizard,Flame Pokémon
7,9,Squirtle,Tiny Turtle Pokémon
8,9,Wartortle,Turtle Pokémon
9,9,Blastoise,Shellfish Pokémon
10,9,Caterpie,Worm Pokémon
11,9,Metapod,Cocoon Pokémon
12,9,Butterfree,Butterfly Pokémon
13,9,Weedle,Hairy Bug Pokémon
14,9,Kakuna,Cocoon Pokémon
15,9,Beedrill,Poison Bee Pokémon
16,9,Pidgey,Tiny Bird Pokémon
17,9,Pidgeotto,Bird Pokémon
18,9,Pidgeot,Bird Pokémon
19,9,Rattata,Mouse Pokémon
20,9,Raticate,Mouse Pokémon
21,9,Spearow,Tiny Bird Pokémon
22,9,Fearow,Beak Pokémon
23,9,Ekans,Snake Pokémon
24,9,Arbok,Cobra Pokémon
25,9,Pikachu,Mouse Pokémon
26,9,Raichu,Mouse Pokémon
27,9,Sandshrew,Mouse Pokémon
28,9,Sandslash,Mouse Pokémon
29,9,Nidoran♀,Poison Pin Pokémon
30,9,Nidorina,Poison Pin Pokémon
31,9,Nidoqueen,Drill Pokémon
32,9,Nidoran♂,Poison Pin Pokémon
33,9,Nidorino,Poison Pin Pokémon
34,9,Nidoking,Drill Pokémon
35,9,Clefairy,Fairy Pokémon
36,9,Clefable,Fairy Pokémon
37,9,Vulpix,Fox Pokémon
38,9,Ninetales,Fox Pokémon
39,9,Jigglypuff,Balloon Pokémon
40,9,Wigglytuff,Balloon Pokémon
41,9,Zubat,Bat Pokémon
42,9,Golbat,Bat Pokémon
43,9,Oddish,Weed Pokémon
44,9,Gloom,Weed Pokémon
45,9,Vileplume,Flower Pokémon
46,9,Paras,Mushroom Pokémon
47,9,Parasect,Mushroom Pokémon
48,9,Venonat,Insect Pokémon
49,9,Venomoth,Poison Moth Pokémon
50,9,Diglett,Mole Pokémon
51,9,Dugtrio,Mole Pokémon
52,9,Meowth,Scratch Cat Pokémon
53,9,Persian,Classy Cat Pokémon
54,9,Psyduck,Duck Pokémon
55,9,Golduck,Duck Pokémon
56,9,Mankey,Pig Monkey Pokémon
57,9,Primeape,Pig Monkey Pokémon
58,9,Growlithe,Puppy Pokémon
59,9,Arcanine,Legendary Pokémon
60,9,Poliwag,Tadpole Pokémon
61,9,Poliwhirl,Tadpole Pokémon
62,9,Poliwrath,Tadpole Pokémon
63,9,Abra,Psi Pokémon
64,9,Kadabra,Psi Pokémon
65,9,Alakazam,Psi Pokémon
66,9,Machop,Superpower Pokémon
67,9,Machoke,Superpower Pokémon
68,9,Machamp,Superpower Pokémon
69,9,Bellsprout,Flower Pokémon
70,9,Weepinbell,Flycatcher Pokémon
71,9,Victreebel,Flycatcher Pokémon
72,9,Tentacool,Jellyfish Pokémon
73,9,Tentacruel,Jellyfish Pokémon
74,9,Geodude,Rock Pokémon
75,9,Graveler,Rock Pokémon
76,9,Golem,Megaton Pokémon
77,9,Ponyta,Fire Horse Pokémon
78,9,Rapidash,Fire Horse Pokémon
79,9,Slowpoke,Dopey Pokémon
80,9,Slowbro,Hermit Crab Pokémon
81,9,Magnemite,Magnet Pokémon
82,9,Magneton,Magnet Pokémon
83,9,Farfetch’d,Wild Duck Pokémon
84,9,Doduo,Twin Bird Pokémon
85,9,Dodrio,Triple Bird Pokémon
86,9,Seel,Sea Lion Pokémon
87,9,Dewgong,Sea Lion Pokémon
88,9,Grimer,Sludge Pokémon
89,9,Muk,Sludge Pokémon
90,9,Shellder,Bivalve Pokémon
91,9,Cloyster,Bivalve Pokémon
92,9,Gastly,Gas Pokémon
93,9,Haunter,Gas Pokémon
94,9,Gengar,Shadow Pokémon
95,9,Onix,Rock Snake Pokémon
96,9,Drowzee,Hypnosis Pokémon
97,9,Hypno,Hypnosis Pokémon
98,9,Krabby,River Crab Pokémon
99,9,Kingler,Pincer Pokémon
100,9,Voltorb,Ball Pokémon
101,9,Electrode,Ball Pokémon
102,9,Exeggcute,Egg Pokémon
103,9,Exeggutor,Coconut Pokémon
104,9,Cubone,Lonely Pokémon
105,9,Marowak,Bone Keeper Pokémon
106,9,Hitmonlee,Kicking Pokémon
107,9,Hitmonchan,Punching Pokémon
108,9,Lickitung,Licking Pokémon
109,9,Koffing,Poison Gas Pokémon
110,9,Weezing,Poison Gas Pokémon
111,9,Rhyhorn,Spikes Pokémon
112,9,Rhydon,Drill Pokémon
113,9,Chansey,Egg Pokémon
114,9,Tangela,Vine Pokémon
115,9,Kangaskhan,Parent Pokémon
116,9,Horsea,Dragon Pokémon
117,9,Seadra,Dragon Pokémon
118,9,Goldeen,Goldfish Pokémon
119,9,Seaking,Goldfish Pokémon
120,9,Staryu,Star Shape Pokémon
121,9,Starmie,Mysterious Pokémon
122,9,Mr. Mime,Barrier Pokémon
123,9,Scyther,Mantis Pokémon
124,9,Jynx,Human Shape Pokémon
125,9,Electabuzz,Electric Pokémon
126,9,Magmar,Spitfire Pokémon
127,9,Pinsir,Stag Beetle Pokémon
128,9,Tauros,Wild Bull Pokémon
129,9,Magikarp,Fish Pokémon
130,9,Gyarados,Atrocious Pokémon
131,9,Lapras,Transport Pokémon
132,9,Ditto,Transform Pokémon
133,9,Eevee,Evolution Pokémon
134,9,Vaporeon,Bubble Jet Pokémon
135,9,Jolteon,Lightning Pokémon
136,9,Flareon,Flame Pokémon
137,9,Porygon,Virtual Pokémon
